Partida,Cód. Artículo,Descripción,Descripción depósito,Saldo stock sistema,Saldo stock fisico
12020434,IA3510/1M,"Impl ANATOMIC Ø3,5 x 10 CE",VENCIDO,0.0,0.0
1202066-1,IHS4310IM,"Impl HS  Ø4,3 x 10",VENCIDO,0.0,0.0
1202066-2,IHS4311IM,"Impl HS  Ø4,3 x 11,5",VENCIDO,0.0,0.0
12030384,IHS4311IM,"Impl HS  Ø4,3 x 11,5",STOCK,0.0,0.0
12030384,IHS4311IM,"Impl HS  Ø4,3 x 11,5",VENCIDO,0.0,0.0
1203072-3,IHS4311IM,"Impl HS  Ø4,3 x 11,5",VENCIDO,0.0,0.0
12030724,IA4313/2M,"Impl ANATOMIC Ø4,3 x 13 CI",STOCK,0.0,0.0
12030724,IA4313/2M,"Impl ANATOMIC Ø4,3 x 13 CI",VENCIDO,0.0,0.0
1203072-4,IA4313/2M,"Impl ANATOMIC Ø4,3 x 13 CI",VENCIDO,0.0,0.0
1203098-1,IA3513/2M,"Impl ANATOMIC Ø3,5 x 13 CI",VENCIDO,0.0,0.0
1203098-3,IHS4308IM,"Impl HS  Ø4,3 x 8,5",VENCIDO,0.0,0.0
1203098-4,IHS4311IM,"Impl HS  Ø4,3 x 11,5",VENCIDO,0.0,0.0
1203100-1,IA4310/2M,"Impl ANATOMIC Ø4,3 x 10 CI",VENCIDO,0.0,0.0
1203101-1,IHS4313IM,"Impl HS  Ø4,3 x 13",VENCIDO,0.0,0.0
1204116-3,IA4313/2M,"Impl ANATOMIC Ø4,3 x 13 CI",VENCIDO,0.0,0.0
1204148-3,IHS4315IM,"Impl HS  Ø4,3 x 15",VENCIDO,0.0,0.0
1205148-1,IHS4308IM,"Impl HS  Ø4,3 x 8,5",VENCIDO,0.0,0.0
1205148-2,IHS4311IM,"Impl HS  Ø4,3 x 11,5",VENCIDO,0.0,0.0
1205148-5,IA5013/2M,"Impl ANATOMIC Ø 5,0 x 13 CI",VENCIDO,0.0,0.0
12051486,IA5016/2M,"Impl ANATOMIC Ø 5,0 x 16 CI",STOCK,0.0,0.0
12051486,IA5016/2M,"Impl ANATOMIC Ø 5,0 x 16 CI",VENCIDO,0.0,0.0
12051672,IHS4310IM,"Impl HS  Ø4,3 x 10",STOCK,0.0,0.0
12051672,IHS4310IM,"Impl HS  Ø4,3 x 10",VENCIDO,0.0,0.0
1205167-2,IHS4310IM,"Impl HS  Ø4,3 x 10",VENCIDO,0.0,0.0
1205167-3,IHS4313IM,"Impl HS  Ø4,3 x 13",VENCIDO,0.0,0.0
1205169-2,IA4313/2M,"Impl ANATOMIC Ø4,3 x 13 CI",VENCIDO,0.0,0.0
1206221-1,IA4313/1M,"Impl ANATOMIC Ø4,3 x 13 CE",VENCIDO,0.0,0.0
1207253-1,IA3510/1M,"Impl ANATOMIC Ø3,5 x 10 CE",VENCIDO,0.0,0.0
12072542,IHS4311IM,"Impl HS  Ø4,3 x 11,5",STOCK,0.0,0.0
12072542,IHS4311IM,"Impl HS  Ø4,3 x 11,5",VENCIDO,0.0,0.0
12072593,IA4316/1M,"Impl ANATOMIC Ø4,3 x 16 CE",STOCK,0.0,0.0
12072593,IA4316/1M,"Impl ANATOMIC Ø4,3 x 16 CE",VENCIDO,0.0,0.0
1207259-3,IA4316/1M,"Impl ANATOMIC Ø4,3 x 16 CE",VENCIDO,0.0,0.0
1207271-3,IHS4311IM,"Impl HS  Ø4,3 x 11,5",VENCIDO,0.0,0.0
120727-2,IA5010/2M,"Impl ANATOMIC Ø 5,0 x 10 CI",VENCIDO,0.0,0.0
12072721,IA4310/2M,"Impl ANATOMIC Ø4,3 x 10 CI",STOCK,0.0,0.0
12072721,IA4310/2M,"Impl ANATOMIC Ø4,3 x 10 CI",VENCIDO,0.0,0.0
1207272-2,IA5008/2M,"Impl ANATOMIC Ø 5,0 x 8 CI",VENCIDO,0.0,0.0
12072731,IA5013/2M,"Impl ANATOMIC Ø 5,0 x 13 CI",STOCK,0.0,0.0
12072731,IA5013/2M,"Impl ANATOMIC Ø 5,0 x 13 CI",VENCIDO,0.0,0.0
1207273-1,IA5013/2M,"Impl ANATOMIC Ø 5,0 x 13 CI",VENCIDO,0.0,0.0
1207273-2,IA4310/2M,"Impl ANATOMIC Ø4,3 x 10 CI",VENCIDO,0.0,0.0
1208-00021,IHS4308IM,"Impl HS  Ø4,3 x 8,5",VENCIDO,0.0,0.0
1208278-1,IHS3510IM,"Impl HS  Ø3,5 x 10",VENCIDO,0.0,0.0
12082783,IHS3515IM,"Impl HS  Ø3,5 x 15",STOCK,0.0,0.0
12082783,IHS3515IM,"Impl HS  Ø3,5 x 15",VENCIDO,0.0,0.0
1208278-3,IHS3515IM,"Impl HS  Ø3,5 x 15",VENCIDO,0.0,0.0
1208278-5,IA5010/2M,"Impl ANATOMIC Ø 5,0 x 10 CI",VENCIDO,0.0,0.0
1208288-2,IHS4308IM,"Impl HS  Ø4,3 x 8,5",VENCIDO,0.0,0.0
1208293-1,IA4310/1M,"Impl ANATOMIC Ø4,3 x 10 CE",VENCIDO,0.0,0.0
12082943,IHS3513IM,"Impl HS  Ø3,5 x 13",STOCK,0.0,0.0
12082943,IHS3513IM,"Impl HS  Ø3,5 x 13",VENCIDO,0.0,0.0
1208294-3,IHS3513IM,"Impl HS  Ø3,5 x 13",VENCIDO,0.0,0.0
1208302-1,IA3513/1M,"Impl ANATOMIC Ø3,5 x 13 CE",VENCIDO,0.0,0.0
1208303-1,IA3510/1M,"Impl ANATOMIC Ø3,5 x 10 CE",VENCIDO,0.0,0.0
12083041,IA5010/2M,"Impl ANATOMIC Ø 5,0 x 10 CI",STOCK,0.0,0.0
12083041,IA5010/2M,"Impl ANATOMIC Ø 5,0 x 10 CI",VENCIDO,0.0,0.0
12093101,IA3513/1M,"Impl ANATOMIC Ø3,5 x 13 CE",STOCK,0.0,0.0
12093101,IA3513/1M,"Impl ANATOMIC Ø3,5 x 13 CE",VENCIDO,0.0,0.0
1209312-1,IA4316/1M,"Impl ANATOMIC Ø4,3 x 16 CE",VENCIDO,0.0,0.0
12093131,IHS3510IM,"Impl HS  Ø3,5 x 10",STOCK,0.0,0.0
1209313-1,IHS3510IM,"Impl HS  Ø3,5 x 10",VENCIDO,0.0,0.0
12093142,IHS4311IM,"Impl HS  Ø4,3 x 11,5",STOCK,0.0,0.0
12093232,IA4316/2M,"Impl ANATOMIC Ø4,3 x 16 CI",STOCK,0.0,0.0
12093232,IA4316/2M,"Impl ANATOMIC Ø4,3 x 16 CI",VENCIDO,0.0,0.0
1209323-2,IA4316/2M,"Impl ANATOMIC Ø4,3 x 16 CI",VENCIDO,0.0,0.0
1209329-1,IA5010/1M,"Impl ANATOMIC Ø 5,1 x 10 CE",VENCIDO,0.0,0.0
12103384,IHS5010IM,Impl HS  Ø5 x 10,STOCK,0.0,0.0
12103384,IHS5010IM,Impl HS  Ø5 x 10,VENCIDO,0.0,0.0
1210338-5,IHS5015IM,Impl HS  Ø5 x 15,VENCIDO,0.0,0.0
1210341-3,IHS5011IM,"Impl HS  Ø5 x 11,5",VENCIDO,0.0,0.0
12103461,IA4310/1M,"Impl ANATOMIC Ø4,3 x 10 CE",STOCK,0.0,0.0
12103461,IA4310/1M,"Impl ANATOMIC Ø4,3 x 10 CE",VENCIDO,0.0,0.0
1210346-1,IA4310/1M,"Impl ANATOMIC Ø4,3 x 10 CE",VENCIDO,0.0,0.0
12103581,IA4316/2M,"Impl ANATOMIC Ø4,3 x 16 CI",STOCK,0.0,0.0
12103581,IA4316/2M,"Impl ANATOMIC Ø4,3 x 16 CI",VENCIDO,0.0,0.0
1210358-1,IA4316/2M,"Impl ANATOMIC Ø4,3 x 16 CI",VENCIDO,0.0,0.0
1210371-1,IHS5008IM,"Impl HS  Ø5 x 8,5",VENCIDO,0.0,0.0
1210371-2,IHS5011IM,"Impl HS  Ø5 x 11,5",VENCIDO,0.0,0.0
1210371-3,IHS5015IM,Impl HS  Ø5 x 15,VENCIDO,0.0,0.0
12103721,IHS4310IM,"Impl HS  Ø4,3 x 10",VENCIDO,0.0,0.0
1210372-1,IHS4310IM,"Impl HS  Ø4,3 x 10",VENCIDO,0.0,0.0
12103751,IHS5013IM,Impl HS  Ø5 x 13,STOCK,0.0,0.0
12103751,IHS5013IM,Impl HS  Ø5 x 13,VENCIDO,0.0,0.0
1210375-1,IHS5013IM,Impl HS  Ø5 x 13,VENCIDO,0.0,0.0
12103771,IA3508/1M,"Impl ANATOMIC Ø3,5 x 8 CE",STOCK,0.0,0.0
